InvestmentVehicle_Id|_Id|PackageBody_Id|DataEffectiveDT|DataObjectInstanceVersionKey
57|F000000LWG|1|2014-06-10|62903
58|F000000LWL|1|2014-06-10|62903
59|F000000LWV|1|2014-06-10|62903
60|F000000LX0|1|2014-06-10|62903
61|F000000LX5|1|2014-06-10|62903
62|F000000LX9|1|2014-06-10|62903
63|F000000LXG|1|2014-06-10|62903
64|F000000LXK|1|2014-06-10|62903
65|F000000LXO|1|2014-06-10|62903
66|F000000LXW|1|2014-06-10|62903
67|F000000LY0|1|2014-06-10|62903
68|F000000LY4|1|2014-06-10|62903
69|F000000LY8|1|2014-06-10|62903
70|F000000LYC|1|2014-06-10|62903
71|F000000LYH|1|2014-06-10|62903
72|F000000LYL|1|2014-06-10|62903
73|F000000LYR|1|2014-06-10|62903
74|F000000LZ0|1|2014-06-10|62903
75|F000000LZ5|1|2014-06-10|62903
76|F000000LZ9|1|2014-06-10|62903
77|F000000LZD|1|2014-06-10|62903
78|F000000LZI|1|2014-06-10|62903
79|F000000LZM|1|2014-06-10|62903
80|F000000LZQ|1|2014-06-10|62903
81|F000000LZV|1|2014-06-10|62903
82|F000000M01|1|2014-06-10|62903
83|F000000M05|1|2014-06-10|62903
84|F000000M09|1|2014-06-10|62903
85|F000000M0D|1|2014-06-10|62903
86|F000000M0N|1|2014-06-10|62903
87|F000000M0R|1|2014-06-10|62903
88|F000000M0X|1|2014-06-10|62903
89|F000000M11|1|2014-06-10|62903
90|F000000M16|1|2014-06-10|62903
91|F000000M1E|1|2014-06-10|62903
92|F000000M1I|1|2014-06-10|62903
93|F000000M1M|1|2014-06-10|62903
94|F000000M1S|1|2014-06-10|62903
95|F000000M1X|1|2014-06-10|62903
96|F000000M21|1|2014-06-10|62903
97|F000000M26|1|2014-06-10|62903
98|F000000M2A|1|2014-06-10|62903
99|F000000M2E|1|2014-06-10|62903
100|F000000M2I|1|2014-06-10|62903
101|F000000LWQ|1|2014-06-10|62903
102|F000000LZ2|1|2014-06-10|62903
103|F000000M18|1|2014-06-10|62903
104|F000000M3Y|1|2014-06-10|62903
105|F000000M67|1|2014-06-10|62903
106|F000000M96|1|2014-06-10|62903
107|F000000MC0|1|2014-06-10|62903
108|F000000MEF|1|2014-06-10|62903
109|F000000MGM|1|2014-06-10|62903
110|F000000MJ8|1|2014-06-10|62903
111|F000000MLF|1|2014-06-10|62903
112|F000000MNK|1|2014-06-10|62903
113|F000000MQ1|1|2014-06-10|62903
114|F000000MS8|1|2014-06-10|62903
115|F000000MUK|1|2014-06-10|62903
116|F000000MWS|1|2014-06-10|62903
117|F000000MY8|1|2014-06-10|62903
118|F000000MZE|1|2014-06-10|62903
119|F000000N0I|1|2014-06-10|62903
120|F000000N1N|1|2014-06-10|62903
121|F000000N37|1|2014-06-10|62903
122|F000000N4E|1|2014-06-10|62903
123|F000000N5M|1|2014-06-10|62903
124|F000000N73|1|2014-06-10|62903
125|F000000N8B|1|2014-06-10|62903
126|F000000N9K|1|2014-06-10|62903
127|F000000NAQ|1|2014-06-10|62903
128|F000000NBW|1|2014-06-10|62903
129|F000000ND7|1|2014-06-10|62903
130|F000000NEK|1|2014-06-10|62903
131|F000000NFM|1|2014-06-10|62903
132|F000000NGQ|1|2014-06-10|62903
133|F000000NHJ|1|2014-06-10|62903
134|F000000NI1|1|2014-06-10|62903
135|F000000NIX|1|2014-06-10|62903
136|F000000NJH|1|2014-06-10|62903
137|F000000NK3|1|2014-06-10|62903
