FundShareClass_Id|_Id|InvestmentVehicle_Id|DataEffectiveDT|DataObjectInstanceVersionKey
3335|F000000N7Q|3335|2014-06-10|62903
3336|F000000N7S|3336|2014-06-10|62903
3337|F000000N7V|3337|2014-06-10|62903
3338|F000000N7X|3338|2014-06-10|62903
3339|F000000N84|3339|2014-06-10|62903
3340|F000000N86|3340|2014-06-10|62903
3341|F000000N88|3341|2014-06-10|62903
3342|F000000N8A|3342|2014-06-10|62903
3343|F000000N8C|3343|2014-06-10|62903
3344|F000000N8E|3344|2014-06-10|62903
3345|F000000N8G|3345|2014-06-10|62903
3346|F000000N8I|3346|2014-06-10|62903
3347|F000000N8K|3347|2014-06-10|62903
3348|F000000N8N|3348|2014-06-10|62903
3349|F000000N8P|3349|2014-06-10|62903
3350|F000000N8T|3350|2014-06-10|62903
3351|F00000J3O1|3351|2014-06-10|62903
3352|F00000J3SW|3352|2014-06-10|62903
3353|F00000J3T0|3353|2014-06-10|62903
3354|F00000J461|3354|2014-06-10|62903
3355|F00000J4RK|3355|2014-06-10|62903
3356|F00000J71P|3356|2014-06-10|62903
3357|F00000J7GV|3357|2014-06-10|62903
3358|F00000J7GX|3358|2014-06-10|62903
3359|F00000J7GZ|3359|2014-06-10|62903
3360|F00000J7L1|3360|2014-06-10|62903
3361|F00000J7L3|3361|2014-06-10|62903
3362|F00000J7VV|3362|2014-06-10|62903
3363|F00000J8E0|3363|2014-06-10|62903
3364|F00000J8E2|3364|2014-06-10|62903
3365|F00000J8E4|3365|2014-06-10|62903
3366|F00000J8E6|3366|2014-06-10|62903
3367|F00000J8HO|3367|2014-06-10|62903
3368|F00000J8HQ|3368|2014-06-10|62903
3369|F00000J8HS|3369|2014-06-10|62903
3370|F00000J8HU|3370|2014-06-10|62903
3371|F00000J8HX|3371|2014-06-10|62903
3372|F00000J8HZ|3372|2014-06-10|62903
3373|F00000J8I1|3373|2014-06-10|62903
3374|F00000J8I3|3374|2014-06-10|62903
3375|F00000JNFG|3375|2014-06-10|62903
3376|F00000JO6K|3376|2014-06-10|62903
3377|F00000JO6M|3377|2014-06-10|62903
3378|F00000JOC2|3378|2014-06-10|62903
3379|F00000JPV9|3379|2014-06-10|62903
3380|F00000JPXD|3380|2014-06-10|62903
3381|F00000JQ3M|3381|2014-06-10|62903
3382|F00000JQ8T|3382|2014-06-10|62903
3383|F00000JQ8W|3383|2014-06-10|62903
3384|F00000JQCF|3384|2014-06-10|62903
3385|F00000JQCH|3385|2014-06-10|62903
3386|F00000JQOU|3386|2014-06-10|62903
3387|F00000JQYU|3387|2014-06-10|62903
3388|F00000JR62|3388|2014-06-10|62903
3389|F00000JRPU|3389|2014-06-10|62903
3390|F00000JSF2|3390|2014-06-10|62903
3391|F00000JT8Q|3391|2014-06-10|62903
3392|F00000JT8S|3392|2014-06-10|62903
3393|F00000JT8U|3393|2014-06-10|62903
3394|F00000JT8W|3394|2014-06-10|62903
3395|F00000JT8Y|3395|2014-06-10|62903
3396|F00000JT91|3396|2014-06-10|62903
3397|F00000JTCR|3397|2014-06-10|62903
3398|F00000JTDW|3398|2014-06-10|62903
3399|F00000JTSC|3399|2014-06-10|62903
3400|F00000JTSE|3400|2014-06-10|62903
3401|F00000Q3CM|3401|2014-06-10|62903
3402|F00000Q3CO|3402|2014-06-10|62903
3403|F00000Q46G|3403|2014-06-10|62903
3404|F00000Q46I|3404|2014-06-10|62903
3405|F00000Q46K|3405|2014-06-10|62903
3406|F00000Q4AK|3406|2014-06-10|62903
3407|F00000Q4AM|3407|2014-06-10|62903
3408|F00000Q4AO|3408|2014-06-10|62903
3409|F00000Q4AQ|3409|2014-06-10|62903
3410|F00000Q4AU|3410|2014-06-10|62903
3411|F00000Q5HV|3411|2014-06-10|62903
3412|F00000Q5HX|3412|2014-06-10|62903
3413|F00000Q5HZ|3413|2014-06-10|62903
3414|F00000Q5I1|3414|2014-06-10|62903
3415|F00000Q5I3|3415|2014-06-10|62903
3416|F00000Q62L|3416|2014-06-10|62903
3417|F00000Q62N|3417|2014-06-10|62903
3418|F00000Q6JL|3418|2014-06-10|62903
3419|F00000Q6JN|3419|2014-06-10|62903
3420|F00000Q6JP|3420|2014-06-10|62903
3421|F00000Q6LR|3421|2014-06-10|62903
3422|F00000Q6LT|3422|2014-06-10|62903
3423|F00000Q6LW|3423|2014-06-10|62903
3424|F00000Q6LY|3424|2014-06-10|62903
3425|F00000Q6M0|3425|2014-06-10|62903
3426|F00000Q6M2|3426|2014-06-10|62903
3427|F00000Q72X|3427|2014-06-10|62903
3428|F00000Q7LV|3428|2014-06-10|62903
3429|F00000Q7LX|3429|2014-06-10|62903
3430|F00000Q7LZ|3430|2014-06-10|62903
3431|F00000Q7M1|3431|2014-06-10|62903
3432|F00000Q7M3|3432|2014-06-10|62903
3433|F00000Q7XV|3433|2014-06-10|62903
3434|F00000Q7XX|3434|2014-06-10|62903
3435|F00000Q7XZ|3435|2014-06-10|62903
3436|F00000Q7Y1|3436|2014-06-10|62903
3437|F00000Q7Y3|3437|2014-06-10|62903
3438|F00000Q7Y5|3438|2014-06-10|62903
3439|F00000Q8A8|3439|2014-06-10|62903
3440|F00000Q8AA|3440|2014-06-10|62903
3441|F00000Q8AC|3441|2014-06-10|62903
3442|F00000Q8AE|3442|2014-06-10|62903
3443|F00000Q8AG|3443|2014-06-10|62903
3444|F00000Q8AJ|3444|2014-06-10|62903
3445|F00000Q8AM|3445|2014-06-10|62903
3446|F00000QAMP|3446|2014-06-10|62903
3447|F00000QAMR|3447|2014-06-10|62903
3448|F00000QAMT|3448|2014-06-10|62903
3449|F00000QAMV|3449|2014-06-10|62903
3450|F00000QAMX|3450|2014-06-10|62903
3451|F000003VEN|3451|2014-06-10|62903
3452|F000003VSH|3452|2014-06-10|62903
3453|F000003VSK|3453|2014-06-10|62903
3454|F000003WQB|3454|2014-06-10|62903
3455|F000003WQF|3455|2014-06-10|62903
3456|F000003XW2|3456|2014-06-10|62903
3457|F000003XYV|3457|2014-06-10|62903
3458|F000003Y2H|3458|2014-06-10|62903
3459|F000003Y92|3459|2014-06-10|62903
3460|F000003Y94|3460|2014-06-10|62903
3461|F000003Y96|3461|2014-06-10|62903
3462|F000003Y98|3462|2014-06-10|62903
3463|F000003Y9B|3463|2014-06-10|62903
3464|F000003Y9D|3464|2014-06-10|62903
3465|F000003Y9F|3465|2014-06-10|62903
3466|F000003YI1|3466|2014-06-10|62903
3467|F000003YLI|3467|2014-06-10|62903
3468|F000003YLK|3468|2014-06-10|62903
