AssetAllocation_Id|PortfolioBreakdown_Id|DataEffectiveDT|DataObjectInstanceVersionKey
239|239|2014-06-10|62903
240|240|2014-06-10|62903
241|241|2014-06-10|62903
242|242|2014-06-10|62903
243|243|2014-06-10|62903
244|244|2014-06-10|62903
245|245|2014-06-10|62903
246|246|2014-06-10|62903
247|247|2014-06-10|62903
248|248|2014-06-10|62903
249|249|2014-06-10|62903
250|250|2014-06-10|62903
251|251|2014-06-10|62903
252|252|2014-06-10|62903
253|253|2014-06-10|62903
254|254|2014-06-10|62903
255|255|2014-06-10|62903
256|256|2014-06-10|62903
257|257|2014-06-10|62903
258|258|2014-06-10|62903
259|259|2014-06-10|62903
260|260|2014-06-10|62903
261|261|2014-06-10|62903
262|262|2014-06-10|62903
263|263|2014-06-10|62903
264|264|2014-06-10|62903
265|265|2014-06-10|62903
266|266|2014-06-10|62903
267|267|2014-06-10|62903
268|268|2014-06-10|62903
269|269|2014-06-10|62903
270|270|2014-06-10|62903
271|271|2014-06-10|62903
272|272|2014-06-10|62903
273|273|2014-06-10|62903
274|274|2014-06-10|62903
275|275|2014-06-10|62903
276|276|2014-06-10|62903
277|277|2014-06-10|62903
278|278|2014-06-10|62903
279|279|2014-06-10|62903
280|280|2014-06-10|62903
281|281|2014-06-10|62903
282|282|2014-06-10|62903
283|283|2014-06-10|62903
284|284|2014-06-10|62903
285|285|2014-06-10|62903
286|286|2014-06-10|62903
287|287|2014-06-10|62903
288|288|2014-06-10|62903
289|289|2014-06-10|62903
290|290|2014-06-10|62903
291|291|2014-06-10|62903
292|292|2014-06-10|62903
293|293|2014-06-10|62903
294|294|2014-06-10|62903
295|295|2014-06-10|62903
296|296|2014-06-10|62903
297|297|2014-06-10|62903
298|298|2014-06-10|62903
299|299|2014-06-10|62903
300|300|2014-06-10|62903
301|301|2014-06-10|62903
302|302|2014-06-10|62903
303|303|2014-06-10|62903
304|304|2014-06-10|62903
305|305|2014-06-10|62903
306|306|2014-06-10|62903
307|307|2014-06-10|62903
308|308|2014-06-10|62903
309|309|2014-06-10|62903
310|310|2014-06-10|62903
311|311|2014-06-10|62903
312|312|2014-06-10|62903
313|313|2014-06-10|62903
314|314|2014-06-10|62903
315|315|2014-06-10|62903
316|316|2014-06-10|62903
317|317|2014-06-10|62903
318|318|2014-06-10|62903
319|319|2014-06-10|62903
320|320|2014-06-10|62903
321|321|2014-06-10|62903
322|322|2014-06-10|62903
323|323|2014-06-10|62903
324|324|2014-06-10|62903
325|325|2014-06-10|62903
326|326|2014-06-10|62903
327|327|2014-06-10|62903
328|328|2014-06-10|62903
329|329|2014-06-10|62903
330|330|2014-06-10|62903
331|331|2014-06-10|62903
332|332|2014-06-10|62903
333|333|2014-06-10|62903
334|334|2014-06-10|62903
335|335|2014-06-10|62903
336|336|2014-06-10|62903
337|337|2014-06-10|62903
338|338|2014-06-10|62903
339|339|2014-06-10|62903
340|340|2014-06-10|62903
341|341|2014-06-10|62903
342|342|2014-06-10|62903
343|343|2014-06-10|62903
