Portfolio_Id|_CurrencyId|_ExternalId|PortfolioList_Id|DataEffectiveDT|DataObjectInstanceVersionKey
2643|JPY|FS000092IH|2643|2014-06-10|62903
2644|JPY|FS000092IJ|2644|2014-06-10|62903
2645|JPY|FS000092IL|2645|2014-06-10|62903
2646|JPY|FS000092ZN|2646|2014-06-10|62903
2647|JPY|FS000092ZR|2647|2014-06-10|62903
2648|JPY|FS000093PI|2648|2014-06-10|62903
2649|JPY|FS000093PK|2649|2014-06-10|62903
2650|JPY|FS000093PM|2650|2014-06-10|62903
2651|JPY|FS000093PO|2651|2014-06-10|62903
2652|JPY|FS000093PQ|2652|2014-06-10|62903
2653|JPY|FS000093PS|2653|2014-06-10|62903
2654|JPY|FS000093PU|2654|2014-06-10|62903
2655|JPY|FS000093PW|2655|2014-06-10|62903
2656|JPY|FS000093PZ|2656|2014-06-10|62903
2657|JPY|FS000093Q1|2657|2014-06-10|62903
2658|JPY|FS000094NE|2658|2014-06-10|62903
2659|JPY|FS000094NG|2659|2014-06-10|62903
2660|JPY|FS000094NI|2660|2014-06-10|62903
2661|JPY|FS00009683|2661|2014-06-10|62903
2662|JPY|FS00009685|2662|2014-06-10|62903
2663|JPY|FSUSA08J8L|2663|2014-06-10|62903
2664|JPY|FSUSA08J7K|2664|2014-06-10|62903
2665|JPY|FSUSA08J85|2665|2014-06-10|62903
2666|JPY|FSUSA0AL6Q|2666|2014-06-10|62903
2667|JPY|FSUSA08J7G|2667|2014-06-10|62903
2668|JPY|FSUSA08J7W|2668|2014-06-10|62903
2669|JPY|FSUSA08J7Z|2669|2014-06-10|62903
2670|JPY|FSUSA08J7I|2670|2014-06-10|62903
2671|JPY|FSUSA08J8C|2671|2014-06-10|62903
2672|JPY|FSUSA08J8A|2672|2014-06-10|62903
2673|JPY|FSUSA0ANS7|2673|2014-06-10|62903
2674|JPY|FSUSA08IUN|2674|2014-06-10|62903
2675|JPY|FSUSA08IUR|2675|2014-06-10|62903
2676|JPY|FSUSA08IUK|2676|2014-06-10|62903
2677|JPY|FSUSA0AL87|2677|2014-06-10|62903
2678|JPY|FSUSA08K22|2678|2014-06-10|62903
2679|JPY|FSUSA0AL8J|2679|2014-06-10|62903
2680|JPY|FSUSA08K2A|2680|2014-06-10|62903
2681|JPY|FSUSA0AL8H|2681|2014-06-10|62903
2682|JPY|FSUSA08JB7|2682|2014-06-10|62903
2683|JPY|FSUSA08JB5|2683|2014-06-10|62903
2684|JPY|FSUSA08JBC|2684|2014-06-10|62903
2685|JPY|FSUSA08JB4|2685|2014-06-10|62903
2686|JPY|FSUSA08JAZ|2686|2014-06-10|62903
2687|JPY|F000000N2R|2687|2014-06-10|62903
2688|JPY|FSUSA08ITO|2688|2014-06-10|62903
2689|JPY|FSUSA08IU0|2689|2014-06-10|62903
2690|JPY|FSUSA0AG47|2690|2014-06-10|62903
2691|JPY|FSUSA08ITT|2691|2014-06-10|62903
2692|JPY|FSUSA08ITI|2692|2014-06-10|62903
2693|JPY|FSUSA08IU4|2693|2014-06-10|62903
2694|JPY|FSUSA08IU2|2694|2014-06-10|62903
2695|JPY|FSUSA08IU1|2695|2014-06-10|62903
2696|JPY|FSUSA08IUE|2696|2014-06-10|62903
2697|JPY|FSUSA0AG3K|2697|2014-06-10|62903
2698|JPY|FSUSA0AG3J|2698|2014-06-10|62903
2699|JPY|FSUSA0AG2P|2699|2014-06-10|62903
2700|JPY|FSUSA08IT5|2700|2014-06-10|62903
2701|JPY|FSUSA08ITH|2701|2014-06-10|62903
2702|JPY|FSUSA08ITZ|2702|2014-06-10|62903
2703|JPY|FSUSA08ITE|2703|2014-06-10|62903
2704|JPY|FSUSA0AI7G|2704|2014-06-10|62903
2705|JPY|FSUSA08JE6|2705|2014-06-10|62903
2706|JPY|FSUSA08JE7|2706|2014-06-10|62903
2707|JPY|FSUSA0AL9V|2707|2014-06-10|62903
2708|JPY|FSUSA09V3P|2708|2014-06-10|62903
2709|JPY|F000000N4K|2709|2014-06-10|62903
2710|JPY|FSUSA08JDA|2710|2014-06-10|62903
2711|JPY|FSUSA08JD1|2711|2014-06-10|62903
2712|JPY|FSUSA08JDN|2712|2014-06-10|62903
2713|JPY|FSUSA09PKX|2713|2014-06-10|62903
2714|JPY|FSUSA0APOI|2714|2014-06-10|62903
2715|JPY|FSUSA0APOS|2715|2014-06-10|62903
2716|JPY|FSUSA0APOO|2716|2014-06-10|62903
2717|JPY|FSUSA09PLA|2717|2014-06-10|62903
2718|JPY|FSUSA09PN4|2718|2014-06-10|62903
2719|JPY|FSUSA09PN8|2719|2014-06-10|62903
2720|JPY|FSUSA09PNA|2720|2014-06-10|62903
2721|JPY|FSUSA09Q6M|2721|2014-06-10|62903
2722|JPY|FSUSA09R89|2722|2014-06-10|62903
2723|JPY|FSUSA09RPD|2723|2014-06-10|62903
2724|JPY|FSUSA09RPJ|2724|2014-06-10|62903
2725|JPY|FSUSA08V9Z|2725|2014-06-10|62903
2726|JPY|FSUSA09TVO|2726|2014-06-10|62903
2727|JPY|FSUSA09TWL|2727|2014-06-10|62903
2728|JPY|FSUSA09U41|2728|2014-06-10|62903
2729|JPY|FSUSA09U4A|2729|2014-06-10|62903
2730|JPY|FSUSA09U97|2730|2014-06-10|62903
2731|JPY|FSUSA0APQF|2731|2014-06-10|62903
2732|JPY|FSUSA09V46|2732|2014-06-10|62903
2733|JPY|FSUSA09V49|2733|2014-06-10|62903
