PortfolioBreakdown_Id|_SalePosition|Portfolio_Id|DataEffectiveDT|DataObjectInstanceVersionKey
147|S|66|2014-06-10|62903
148|N|66|2014-06-10|62903
149|L|66|2014-06-10|62903
150|S|67|2014-06-10|62903
151|N|67|2014-06-10|62903
152|L|67|2014-06-10|62903
153|L|68|2014-06-10|62903
154|N|68|2014-06-10|62903
155|L|69|2014-06-10|62903
156|N|69|2014-06-10|62903
157|L|70|2014-06-10|62903
158|S|70|2014-06-10|62903
159|N|70|2014-06-10|62903
160|L|71|2014-06-10|62903
161|N|71|2014-06-10|62903
162|L|72|2014-06-10|62903
163|N|72|2014-06-10|62903
164|L|73|2014-06-10|62903
165|S|73|2014-06-10|62903
166|N|73|2014-06-10|62903
167|S|74|2014-06-10|62903
168|N|74|2014-06-10|62903
169|L|74|2014-06-10|62903
170|L|75|2014-06-10|62903
171|N|75|2014-06-10|62903
172|L|76|2014-06-10|62903
173|N|76|2014-06-10|62903
174|L|77|2014-06-10|62903
175|N|77|2014-06-10|62903
176|L|78|2014-06-10|62903
177|N|78|2014-06-10|62903
178|L|79|2014-06-10|62903
179|N|79|2014-06-10|62903
180|L|80|2014-06-10|62903
181|N|80|2014-06-10|62903
182|L|81|2014-06-10|62903
183|N|81|2014-06-10|62903
184|L|82|2014-06-10|62903
185|N|82|2014-06-10|62903
186|L|83|2014-06-10|62903
187|N|83|2014-06-10|62903
188|L|84|2014-06-10|62903
189|N|84|2014-06-10|62903
190|L|85|2014-06-10|62903
191|N|85|2014-06-10|62903
192|L|86|2014-06-10|62903
193|S|86|2014-06-10|62903
194|N|86|2014-06-10|62903
195|S|87|2014-06-10|62903
196|N|87|2014-06-10|62903
197|L|87|2014-06-10|62903
198|L|88|2014-06-10|62903
199|S|88|2014-06-10|62903
200|N|88|2014-06-10|62903
201|S|89|2014-06-10|62903
202|N|89|2014-06-10|62903
203|L|89|2014-06-10|62903
204|L|90|2014-06-10|62903
205|N|90|2014-06-10|62903
206|S|91|2014-06-10|62903
207|N|91|2014-06-10|62903
208|L|91|2014-06-10|62903
209|L|92|2014-06-10|62903
210|N|92|2014-06-10|62903
211|L|93|2014-06-10|62903
212|N|93|2014-06-10|62903
213|L|94|2014-06-10|62903
214|S|94|2014-06-10|62903
215|N|94|2014-06-10|62903
216|S|95|2014-06-10|62903
217|N|95|2014-06-10|62903
218|L|95|2014-06-10|62903
219|S|96|2014-06-10|62903
220|N|96|2014-06-10|62903
221|L|96|2014-06-10|62903
222|L|97|2014-06-10|62903
223|N|97|2014-06-10|62903
